개방서비스명,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
썰매장업,폐업,2019,20190321,경기,"경기도 고양시 일산서구 킨텍스로 217-60, 킨텍스 킨텍스 제1전시장 2홀호 (대화동)",실내썰매 키즈월드
썰매장업,폐업,2019,20190704,경기,"경기도 과천시 광명로 181, 서울랜드 (막계동)",서울랜드 눈썰매장
썰매장업,폐업,2018,20181231,부산,"부산광역시 해운대구 APEC로 30, 벡스코제2전시장 1층 4C,D,E,F호 (우동)",실내썰매 키즈월드 시즌2
썰매장업,폐업,2020,20200331,서울,서울특별시 구로구 구로중앙로42길 59 (신도림동),구로 튜빙 눈썰매장
썰매장업,폐업,2019,20190314,인천,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학경기장 눈썰매장
썰매장업,폐업,2019,20190308,인천,"인천광역시 연수구 센트럴로 123, 송도컨벤시아 3홀 (송도동)",상상체험 키즈월드 실내썰매
썰매장업,폐업,2019,20190312,경기,"경기도 시흥시 서해안로 900, 시흥에코피아주식회사 (월곶동)",월곶에코피아눈썰매장
썰매장업,폐업,2019,20190528,충청,충청북도 충주시 중앙탑면 중앙탑길 42,중앙탑 키즈 사계절 썰매장
썰매장업,폐업,2019,20190327,경기,경기도 평택시 진위면 진위서로 264-15,진위천 유원지 눈썰매장
썰매장업,폐업,2017,20170424,경상,경상남도 하동군 악양면 섬진강대로 3145-1,하동 팡팡눈썰매 페스티벌
썰매장업,폐업,2018,20180218,경기,경기도 평택시 진위면 진위로 104,케이원 거인기획
썰매장업,폐업,2019,20191127,경기,경기도 평택시 안중읍 오성서로 116-20,황금눈설매장
썰매장업,폐업,2017,20170405,경기,경기도 평택시 진위면 진위서로 264-15,진위천시민유원지눈썰매장
썰매장업,폐업,2020,20200117,경기,경기도 양주시 만송로 394-104  (만송동),양주체험마을
썰매장업,폐업,2017,20170424,경기,경기도 포천시 내촌면 금강로2536번길 27,(주)예지실업 베어스타운 리조트
썰매장업,폐업,2018,20181219,경기,경기도 파주시 탄현면 얼음실로 132,(주)한성레포츠
썰매장업,폐업,2017,20170103,경기,"경기도 파주시 동서대로 700 (야당동, 아미가골프연습장)",빅토리눈썰매장
썰매장업,폐업,2017,20171213,충청,"충청북도 충주시 남한강로 26 (금릉동, 충주세계무술박물관)",충주세계무술공원 눈썰매장
썰매장업,폐업,2020,20201026,충청,충청북도 충주시 수안보면 주정산로 203,이글레져 스포츠
썰매장업,폐업,2018,20180917,충청,충청남도 아산시 영인면 아산온천로 16-26,영인산자연휴양림썰매장
썰매장업,폐업,2016,20160215,충청,충청남도 아산시 염치읍 충무로358번길 75,아산눈썰매장
썰매장업,폐업,2016,20160302,경상,"경상남도 창원시 의창구 원이대로 362 (대원동, 창원컨벤션센터 제1전시장)",상상체험키즈월드 시즌2
썰매장업,폐업,2019,20191218,경상,경상남도 창원시 진해구 여좌로63번길 20-8 (여좌동),주)서진
썰매장업,폐업,2017,20170317,경상,"경상남도 창원시 의창구 원이대로 362 (대원동, 창원컨벤션센터 1,2전시장내)",상상체험키즈월드 시즌4
썰매장업,폐업,2020,20201215,충청,충청북도 청주시 흥덕구 강내면 청주역로 213-52,에듀윙
썰매장업,폐업,2020,20200120,충청,충청북도 청주시 청원구 내수읍 충청대로 846,유림랜드썰매장
썰매장업,폐업,2018,20181226,서울,"서울특별시 도봉구 도봉로168길 30 (도봉동, 성균관대학교종합운동장)",도봉튜빙눈썰매장
썰매장업,폐업,2019,20190404,서울,"서울특별시 광진구 능동로 216 (능동, 어린이대공원)",어린이대공원아이랜드(주)
썰매장업,폐업,2016,20160720,서울,서울특별시 노원구 화랑로 681 (공릉동),태릉눈썰매장
썰매장업,폐업,2020,20200423,서울,"서울특별시 동대문구 이문로 184, 2층 (이문동)",한양대석사태권도장
썰매장업,폐업,2019,20190111,강원,강원도 평창군 봉평면 태기로 174,루지썰매(하계)
썰매장업,폐업,2019,20190328,강원,"강원도 평창군 대관령면 올림픽로 715, 용평리조트",(주)씨앤에스이벤트 루지코리아
썰매장업,폐업,2016,20160314,대전,"대전광역시 유성구 엑스포로 87 (도룡동, 대전무역전시관)",대전무역전시관눈썰매장
썰매장업,폐업,2017,20170419,대전,"대전광역시 유성구 엑스포로 87 (도룡동, 대전무역전시관)",대전무역전시관 썰매장
썰매장업,폐업,2018,20180912,대구,대구광역시 달성군 가창면 가창로175길 8,리안기획
썰매장업,폐업,2016,20161011,강원,강원도 강릉시 두산길 156-7 (병산동),공항눈썰매장
썰매장업,폐업,2020,20201217,강원,강원도 강릉시 동해대로3456번길 14 (대전동),태장봉눈썰매장
썰매장업,폐업,2018,20181023,강원,강원도 홍천군 서면 한치골길 262,대명비발디파크눈썰매장
썰매장업,폐업,2020,20201231,강원,강원도 홍천군 서석면 검산길 147-19,모둘자리눈썰매장
썰매장업,폐업,2019,20191206,강원,강원도 원주시 지정면 신평석화로 236,동서울레스피아 사계절레일썰매장
썰매장업,폐업,2018,20180412,부산,"부산광역시 해운대구 APEC로 30, 3층 5B호 (우동, 벡스코제2전시장)",실내썰매 키즈월드 시즌4
썰매장업,폐업,2016,20161229,부산,"부산광역시 해운대구 해운대해변로 264 (우동, 해운대관광봉사센타)",주식회사 해라
썰매장업,폐업,2016,20161206,부산,"부산광역시 해운대구 APEC로 55, 5C호 (우동, 벡스코)",2016 버블과 함께하는 실내썰매
썰매장업,폐업,2017,20170118,경기,경기도 화성시 향남읍 향남로 470 (화성종합경기타운),(주)클린화성
썰매장업,폐업,2017,20170317,경기,경기도 안성시 삼죽면 서동대로 5970-11,늘 징글벨랜드
썰매장업,폐업,2020,20201230,경기,경기도 안성시 공도읍 대신두길 28  (농협중앙회 안성팜랜드),농협중앙회 안성팜랜드(눈설매장)
썰매장업,폐업,2017,20171207,강원,"강원도 태백시 서학로 861 (황지동, 오투리조트)",O2눈썰매장
썰매장업,폐업,2020,20200402,강원,강원도 태백시 천제단길 187 (소도동),태백산눈썰매장
썰매장업,폐업,2017,20170614,부산,부산광역시 북구 덕천로 0 (덕천동),아이스 온 아트
썰매장업,폐업,2019,20190228,대구,"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 1층 3호 (산격동)",라이키즈
썰매장업,폐업,2020,20201118,서울,서울특별시 은평구 서오릉로 156 (갈현동),문 당구장
썰매장업,폐업,2017,20170329,경기,"경기도 과천시 상하벌로 110 (과천동, 국립과천과학관)",국립과천과학관 겨울이야기 눈썰매장
썰매장업,폐업,2016,20160705,경기,"경기도 과천시 광명로 181 (막계동, 서울랜드)",서울랜드 눈썰매장
썰매장업,폐업,2018,20180813,강원,강원도 춘천시 동면 금옥길 228,옥광산 눈썰매장
썰매장업,폐업,2020,20201230,충청,충청남도 예산군 덕산면 윤봉길로 400-9,삼원레저타운
썰매장업,폐업,2017,20170616,서울,"서울특별시 영등포구 여의공원로 68 (여의도동, 여의도공원, 문화의마당)",여의 아이스파크
썰매장업,폐업,2018,20181206,경기,"경기도 시흥시 서해안로 900 (월곶동, 시흥에코피아주식회사)",월곶에코피아 사계절 썰매장
썰매장업,폐업,2016,20160901,인천,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장)",문학 워터파크
썰매장업,폐업,2018,20180823,인천,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학워터파크
썰매장업,폐업,2018,20180305,인천,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학경기장 눈썰매장
썰매장업,폐업,2018,20180305,인천,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장)",문학워터파크
썰매장업,폐업,2017,20170308,인천,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장)",문학경기장 눈썰매장
썰매장업,폐업,2016,20160719,인천,"인천광역시 미추홀구 매소홀로 618 (문학동, 인천문학경기장)",인천 문학 눈썰매장
썰매장업,폐업,2017,20170518,인천,"인천광역시 연수구 센트럴로 123, 1층 (송도동, 송도컨벤시아)",송도실내썰매&키즈플렉스
썰매장업,폐업,2016,20160307,인천,"인천광역시 연수구 센트럴로 123, 1홀호 (송도동, 송도컨벤시아)",송도키즈랜드&실내썰매장
썰매장업,폐업,2020,20200306,인천,"인천광역시 연수구 센트럴로 123, 송도컨벤시아 제3전시홀 (송도동)",2019 상상체험키즈월드
썰매장업,폐업,2020,20200213,경기,"경기도 고양시 일산서구 킨텍스로 217-59, 제2킨텍스 1층 10호 (대화동)",실내썰매 키즈월드
썰매장업,폐업,2020,20200130,경기,"경기도 고양시 일산서구 킨텍스로 217-60, 킨텍스 1층 1호 (대화동)",킨텍스 해피월드 시즌13 'MBC 텔레몬스터 대모험'
썰매장업,폐업,2020,20200626,경기,"경기도 과천시 광명로 181, 서울랜드 (막계동)",서울랜드 눈썰매장
썰매장업,폐업,2020,20200212,부산,"부산광역시 해운대구 APEC로 30, 벡스코제2전시장,4C~F홀 (우동)",후토스+실내썰매 키즈월드
썰매장업,폐업,2020,20200306,세종,"세종특별자치시 한누리대로 2130, 세종시청 (보람동)",주식회사 알앤알스포츠
썰매장업,폐업,2017,20170414,전라,전라남도 무안군 삼향읍 남악로162번길 80,키즈 썰매장
