개방서비스명,인허가년도,인허가일자,영업상태명,폐업년도,폐업일자,위치,도로명전체주소,사업장명
무도학원업,2016,20161215,폐업,2020,20201111,경상,"경상남도 창원시 의창구 사화로10번길 16, 3층 301호 (팔용동, 파평빌딩)",동양무도학원
무도학원업,2002,20020918,폐업,2020,20200227,경상,경상북도 구미시 인동중앙로5길 18 (황상동),황실무도학원
무도학원업,1999,19990902,폐업,2020,20200120,경상,경상북도 구미시 구미중앙로7길 3 (원평동),구미무도학원
무도학원업,1998,19980729,폐업,2020,20200227,경상,경상북도 구미시 산업로2길 35-3 (원평동),한국무도학원
무도학원업,2015,20150313,폐업,2020,20200929,경상,경상북도 구미시 산업로 지하 320-11 (원평동),해피댄스 스포츠
무도학원업,2001,20011024,폐업,2020,20200330,경상,경상북도 구미시 금오시장로8길 12 (원평동),이명숙댄스스포츠무도학원
무도학원업,2001,20010613,폐업,2020,20201208,충청,충청남도 천안시 동남구 큰시장길 53 (영성동),코리아댄스스포츠스쿨
무도학원업,2007,20070130,폐업,2020,20200825,충청,충청남도 예산군 예산읍 예산로 73-1,청남무도학원
무도학원업,2006,20061113,폐업,2020,20201021,울산,"울산광역시 울주군 언양읍 남문길 13-4, 2층",강변무도학원
무도학원업,1999,19990805,폐업,2020,20201112,울산,"울산광역시 울주군 언양읍 헌양길 95-1, 2층",언양무도학원
무도학원업,2000,20000921,폐업,2020,20201020,경상,"경상남도 창원시 마산합포구 노산남7길 35 (상남동,지하1층)",궁전무도학원
무도학원업,2000,20000224,폐업,2020,20201211,경상,"경상남도 창원시 마산합포구 3·15대로 339, 3층 (부림동)",아세아댄스스포츠
무도학원업,2000,20000214,폐업,2020,20200513,경상,"경상남도 창원시 마산회원구 북성로 199 (석전동,2층)",강남스포츠댄스학원
무도학원업,2006,20061121,폐업,2020,20200924,경상,"경상남도 김해시 가락로86번길 5-5, 4층 (서상동)",일흥무도학원
무도학원업,1996,19960203,폐업,2020,20200722,경상,경상남도 김해시 가락로50번길 8 (부원동),가야무도학원
무도학원업,2014,20140722,폐업,2020,20200810,경상,"경상남도 양산시 덕계로 51, 3층 (덕계동)",필무도학원
무도학원업,2009,20091102,폐업,2020,20200121,경상,"경상남도 양산시 중앙로 157-1, 3층 (북부동)",246 댄스스포츠
무도학원업,2003,20030701,폐업,2020,20201217,경상,경상남도 진주시 진주대로1144번길 9 (봉곡동),돌리GO
무도학원업,2002,20020223,폐업,2020,20200904,대구,대구광역시 남구 명덕로 216 (대명동),강림무도학원
골프연습장업,2013,20130225,폐업,2020,20200207,광주,광주광역시 서구 무진대로 768  (쌍촌동),위너스골프
골프연습장업,2013,20130905,폐업,2020,20201006,광주,"광주광역시 서구 풍암신암로 40, 3층 (풍암동)",김진석골프클리닉
골프연습장업,2002,20020528,폐업,2020,20201026,대구,대구광역시 북구 연암로 199 (산격동),팔공골프연습장
골프연습장업,2006,20060117,폐업,2020,20201209,대구,"대구광역시 북구 호국로 229, 3층 (서변동)",서변스크린골프
골프연습장업,2017,20170314,폐업,2020,20200825,대전,"대전광역시 대덕구 대덕대로 1555, 상가동 4층 (석봉동, 금강엑슬루타워)",엑슬루 스크린골프
골프연습장업,2016,20160719,폐업,2020,20200211,부산,"부산광역시 강서구 명지국제8로 270, 7층 (명지동)",고고골프클럽
골프연습장업,2017,20171109,폐업,2020,20200827,경상,"경상북도 안동시 풍천면 호수공원2길 12, 3층 301호",명당스크린골프
골프연습장업,2015,20150828,폐업,2020,20201005,경상,"경상북도 안동시 강남5길 5, 301호 (정하동, 태희빌딩)",강남스크린골프
골프연습장업,2016,20160909,폐업,2020,20201027,경상,경상북도 안동시 황토마을길 24 (노하동),이안스크린골프
골프연습장업,2010,20100413,폐업,2020,20200722,경상,"경상남도 창원시 마산회원구 3·15대로 673 (석전동, 지하1층)",한일비전스크린골프
골프연습장업,2009,20091026,폐업,2020,20200506,경상,"경상남도 창원시 성산구 삼동로128번길 85, 503호 (내동, 엑스포상가)",엑스포스크린골프연습장
골프연습장업,2009,20090907,폐업,2020,20200923,경상,"경상남도 창원시 성산구 단정로 29, 701호 (상남동, 태우라메르빌딩)",서선용골프아카데미
골프연습장업,2010,20100108,폐업,2020,20201216,경상,"경상남도 창원시 의창구 도계로60번길 7 (도계동,2층(전부))",대욱골프연습장
골프연습장업,2008,20080213,폐업,2020,20201013,경상,"경상남도 김해시 가야로 287, 지하1층 (구산동)",노블힐스크린골프
골프연습장업,2016,20160422,폐업,2020,20200909,경상,"경상남도 거제시 거제중앙로 1898-5, 2층 (고현동, 거제관광호텔)",킹스크린골프
골프연습장업,2016,20160425,폐업,2020,20200907,경상,"경상남도 거제시 거제중앙로 1898-5 (고현동, 거제관광호텔)",거제관광호텔스크린골프
골프연습장업,2016,20160502,폐업,2020,20200907,경상,"경상남도 거제시 거제중앙로 1898-5, 3층 (고현동, 거제관광호텔)",VIP스크린골프
골프연습장업,2016,20160502,폐업,2020,20200907,경상,"경상남도 거제시 거제중앙로 1898-5, 3층 (고현동, 거제관광호텔)",거제스크린골프
골프연습장업,2011,20110613,폐업,2020,20200619,경상,"경상남도 창원시 성산구 용지로 52, 지하1층 (중앙동)",풀스크린골프
골프연습장업,2011,20110726,폐업,2020,20200416,경상,"경상남도 창원시 성산구 원이대로393번길 25 (반지동,케이프타운 지하2층 2002호 2003호)",동영스크린골프
골프연습장업,2008,20081020,폐업,2020,20201209,경상,경상남도 진주시 대신로 251 (상대동),진주블루스크린골프존
골프연습장업,2008,20080522,폐업,2020,20200713,울산,울산광역시 동구 진성13길 91 (전하동),VIP 골프클럽
골프연습장업,2013,20130711,폐업,2020,20200303,울산,울산광역시 동구 방어진순환도로 662 (일산동),은빛스크린골프
골프연습장업,2015,20151119,폐업,2020,20201112,울산,울산광역시 동구 문재1길 60 (방어동),현대골프연습장
골프연습장업,2004,20041108,폐업,2020,20200615,울산,울산광역시 동구 문재7길 1 (방어동),홀인원골프연습장
골프연습장업,2010,20100204,폐업,2020,20200212,울산,"울산광역시 북구 동대21길 19 (호계동,나동 1층)",팡야스크린골프연습장
골프연습장업,2016,20161021,폐업,2020,20200427,울산,"울산광역시 울주군 청량읍 삼정로 48, 2층",반정스크린골프
골프연습장업,2016,20160425,폐업,2020,20200107,전라,전라북도 군산시 월명로 254 (수송동),스내그 주니어골프
골프연습장업,2013,20130403,폐업,2020,20201104,충청,충청남도 공주시 시목길 15-1 (신관동),건강랜드골프연습장
골프연습장업,2013,20131024,폐업,2020,20201110,충청,"충청남도 홍성군 홍북읍 의향로 289, A-one 프라자 403,404호",내포스크린골프존
골프연습장업,2016,20160212,폐업,2020,20201110,충청,"충청남도 홍성군 홍북읍 청사로174번길 12, 강남프라자 504호",내포 그늘집 스크린 골프
골프연습장업,2016,20160728,폐업,2020,20201110,충청,충청남도 홍성군 광천읍 홍남로 626,광천 SG 스크린 골프장
골프연습장업,2017,20170613,폐업,2020,20201110,충청,"충청남도 홍성군 홍북읍 홍학로 87, 엘가프라자 601호",엘가스크린골프
골프연습장업,2012,20120703,폐업,2020,20200413,충청,충청남도 예산군 예산읍 금오대로 194,버져비터 스크린 골프연습장
골프연습장업,2006,20060607,폐업,2020,20201110,충청,"충청남도 홍성군 홍성읍 조양로 207, 2층",티업스크린골프연습장
골프연습장업,2007,20070504,폐업,2020,20201110,충청,"충청남도 홍성군 홍성읍 홍성천길 114, 2층",SG스크린골프
골프연습장업,2008,20080123,폐업,2020,20201110,충청,충청남도 홍성군 홍성읍 문화로 26,골프존파크
골프연습장업,2012,20120926,폐업,2020,20201110,충청,충청남도 홍성군 홍성읍 의사로72번길 30-14,마스터즈 골프
골프연습장업,2013,20130911,폐업,2020,20201107,충청,충청남도 홍성군 홍성읍 월산로 70-79,골프존 월가 스크린
골프연습장업,2017,20171205,폐업,2020,20201110,충청,"충청남도 홍성군 홍북읍 청사로150번길 10, 센트럴 뉴 스퀘어 703,704호",JS골프아카데미&골프존
골프연습장업,2010,20100310,폐업,2020,20200122,경기,"경기도 오산시 외삼미로152번길 57-13 (외삼미동, (주)에스아이개발)",강남골프존
골프연습장업,2015,20150706,폐업,2020,20200429,경기,경기도 포천시 이동면 장암1길 31-1,이동스크린골프
골프연습장업,2011,20110608,폐업,2020,20200122,경기,"경기도 오산시 청학로 173 (수청동, 농협)",KNH 스튜디오
골프연습장업,2005,20051122,폐업,2020,20200122,경기,"경기도 오산시 대원로29번길 2 (원동, 보광빌딩)",그린골프클리닉
골프연습장업,2007,20070914,폐업,2020,20200122,경기,"경기도 오산시 외삼미로 27-8 (외삼미동, 세마골프클럽)",세마스크린골프
골프연습장업,2008,20080324,폐업,2020,20200821,경기,"경기도 오산시 오산로 193 (오산동, 탑프라자)",우정 스크린 골프연습장
골프연습장업,2004,20040811,폐업,2020,20200831,경기,경기도 포천시 소흘읍 호국로 493-46,파인골프랜드
골프연습장업,2015,20150330,폐업,2020,20200514,경기,"경기도 의왕시 이미로 40, A동 116,117,118호 (포일동, 인덕원IT밸리)",IT밸리 골프존
골프연습장업,2017,20170501,폐업,2020,20201224,경기,"경기도 의왕시 안양판교로 103, 3층 (포일동, 포레스타타워)",숲속마을 스크린골프
골프연습장업,2011,20110623,폐업,2020,20200807,경기,"경기도 의왕시 부곡중앙남1길 34 (삼동, 부곡꿈마을)",필스크린 골프
골프연습장업,2011,20111226,폐업,2020,20200827,경기,"경기도 의왕시 봇들로 54, 4층 (포일동)",티업(t up)스크린골프
골프연습장업,2018,20181204,폐업,2020,20200514,경상,"경상남도 양산시 물금읍 메기로 190, MK프라자 201호",MK아시아드골프
골프연습장업,2018,20181129,폐업,2020,20200702,강원,"강원도 춘천시 스무숲2길 8, 지하1층 (석사동)",스무숲스크린
골프연습장업,2018,20181129,폐업,2020,20200702,강원,강원도 춘천시 스무숲2길 10 (석사동),스무숲스크린
